Северный-слово;Северный-значение;Центральный-слово;Центральный-значение;Южный-слово;Южный-значение
аквариум;камера предварительного заключения;Благодыр;спасибо;Турлы;трущобы
Бадлон;водолазка;Бэпэшка;еда быстрого приготовления, лапша;Шудлярка;выдвижной ящик
Баско;хорошо, красиво, круто;Виктория;клубника;Тигули;трущобы
Больняк;больничный лист;Карбыш;крот, грызун, хомяк;Бздыхи;туристы-курортники
Булка;батон;Кока;крестный отец;Додельник;мастер умелец
Виадук;эстакада;Кокуха;крестна мать;Жердела;дикий абрикос
Греча;гречка;Ляховский;сумашедший;Жамка;пряник
Козить;смешить;Малосемейка;малометражная квартира или дом с такими квартирами;Бадражан;помидор
Карточка;проездной;Мятая картошка;картофельное пюре;Бирюк;волк
Кольцо;круговое движение;Песок;сахарный песок;Ваня Кубаня;божья коровка
Кура;курица;;;;
Латка;утятница;;;;
Лестница;подъезд;;;;
Мульда;мусорный контейнер;;;;
Парадная;подъезд дома;;;;
Поварешка;половник;;;;
Поребрик;бордюр;;;;
Посудница;сушилка для посуды;;;;
Пухто;контейнер для мусора;;;;
Пышка;пончик;;;;
Садик;сквер;;;;
Хабарик;окурок;;;;
Шаверма;шаурма;;;;
Электрон;электричка;;;;
Лента;академическая пара;;;;
Тришки;спортивные штаны;;;;
Гомонок;кошелек;;;;
Калба;черемша;;;;
Мультифора;файлик для документов;;;;
Стайка;сарай;;;;
Толчконка;картофельное пюре;;;;
Мансур;Салихов
Мансур;Салихов
Мансур;Салихов
;;Мансур;Салихов;;
;;Мансур;Салихов;;
;;Мансур;Салихов;;
;;Мансур;Салихов;;
;;Мансур;Салихов;;
;;Мансур;Салихов;;
;;Мансур;Салихов;;
;;Мансур;Салихов;;
